name	id	definition	comment	broad	exact	related
hindlimb zeugopod	UBERON_0003823	The middle limb segment of the pelvic free limb, between the autopod and stylopod segments. Includes as parts the hindlimb zeugopodial skeleton, which includes as parts the tibia and fibula, or their cartilage precursors, or evolutionary variants.			lower extremity zeugopod|hindlimb zeugopodium|crus of hindlimb|hindlimb zeudopodium|posterior region of leg|intermediate segment of free lower limb|lower leg|hind limb middle limb segment|regio surae|crus|lower extremity middle limb segment|sura|posterior leg region|middle limb segment of hindlimb|shank|zeugopod of hind limb|regio cruris posterior|hindlimb zeugopod|zeugopod of hindlimb|hindlimb middle limb segment|calf of leg|hindlimb epipodium|sural region|hind limb zeudopodium|middle limb segment of hind limb|hind limb zeugopod|posterior curral region|posterior part of leg	hind epipodium|leg
nerve of thoracic segment	UBERON_0003824	A nerve that is part of a thorax [Automatically generated definition].			nerve of thorax|thorax nerve|thoracic segment nerve	upper body nerve
nerve of abdominal segment	UBERON_0003825	A nerve that is part of an abdominal segment of trunk [Automatically generated definition].			abdominal segment nerve	
upper leg bone	UBERON_0003826	A bone that is part of a hindlimb stylopod [Automatically generated definition].	May be merged into femur. See https://sourceforge.net/tracker/index.php?func=detail&aid=3586533&group_id=76834&atid=1205376			femur
thoracic segment bone	UBERON_0003827	A bone that is part of a thorax [Automatically generated definition].			thorax bone organ|thorax bone|bone of thorax|bone organ of thorax	upper body bone
abdominal segment bone	UBERON_0003828	A bone that is part of an abdominal segment of trunk [Automatically generated definition].			bone organ of abdominal segment of trunk|abdominal segment of trunk bone|abdominal segment of trunk bone organ|bone of abdominal segment of trunk	
urethra muscle tissue	UBERON_0003829	Any muscle tissue that is part of the urethra.				urethral muscle layer
thoracic segment muscle	UBERON_0003830	Any muscle organ that is part of a thorax [Automatically generated definition].			thorax muscle organ|muscle organ of thorax	upper body muscle
respiratory system muscle	UBERON_0003831	Any muscle organ that is part of a respiratory system [Automatically generated definition].			apparatus respiratorius muscle organ|muscle organ of apparatus respiratorius|muscle organ of respiratory system|respiratory system muscle organ	
esophagus muscle	UBERON_0003832	Any muscle organ that is part of a esophagus [Automatically generated definition].			muscle organ of gullet|esophageal muscle|gullet muscle organ|esophagus muscle organ|muscle organ of esophagus|muscle organ of oesophagus|oesophagus muscle organ	
abdominal segment muscle	UBERON_0003833	A muscle organ that is part of an abdominal segment of trunk [Automatically generated definition].			muscle organ of abdominal segment of trunk|abdominal segment of trunk muscle organ	
thoracic segment blood vessel	UBERON_0003834	A blood vessel that is part of a thorax [Automatically generated definition].			blood vessel of thorax|thorax blood vessel	upper body blood vessel
abdominal segment blood vessel	UBERON_0003835	A blood vessel that is part of an abdominal segment of trunk [Automatically generated definition].			blood vessel of abdominal segment of trunk|abdominal segment of trunk blood vessel	
abdominal segment skin	UBERON_0003836	A skin of body that is part of an abdominal segment of trunk [Automatically generated definition].			skin of abdominal segment of trunk|abdominal segment of trunk skin	
thoracic segment connective tissue	UBERON_0003837	A portion of connective tissue that is part of a thorax [Automatically generated definition].			portion of connective tissue of thorax|thorax connective tissue|thorax textus connectivus|thorax portion of connective tissue|textus connectivus of thorax|connective tissue of thorax	upper body connective tissue
abdominal segment connective tissue	UBERON_0003838	A portion of connective tissue that is part of an abdominal segment of trunk [Automatically generated definition].			abdominal segment of trunk textus connectivus|connective tissue of abdominal segment of trunk|abdominal segment of trunk connective tissue|abdominal segment of trunk portion of connective tissue|portion of connective tissue of abdominal segment of trunk|textus connectivus of abdominal segment of trunk	
forelimb joint	UBERON_0003839	A limb joint that is part of a forelimb [Automatically generated definition].			forelimb joint of limb|superior member limb joint|limb joint of superior member|limb joint of anteriormost limb|joint of limb of superior member|anteriormost limb joint of limb|joint of limb of fore limb|limb joint of upper extremity|upper extremity limb joint|limb joint of fore limb|joint of limb of anteriormost limb|upper extremity joint of limb|fore limb joint of limb|fore limb limb joint|joint of limb of forelimb|joint of limb of upper extremity|superior member joint of limb|forelimb limb joint|limb joint of forelimb|anteriormost limb limb joint|joint of free upper limb	
hindlimb joint	UBERON_0003840	A limb joint that is part of a hindlimb [Automatically generated definition].			limb joint of hind limb|hind limb limb joint|joint of lower limb|limb joint of inferior member|joint of free lower limb|hind limb joint of limb|limb joint of hindlimb|limb joint of lower extremity|inferior member limb joint|joint of limb of hind limb|joint of limb of hindlimb|hindlimb limb joint|inferior member joint of limb|hindlimb joint of limb|joint of limb of lower extremity|lower extremity limb joint|joint of limb of inferior member|lower extremity joint of limb	
autopod joint	UBERON_0003841	A limb joint that is part of an autopod [Automatically generated definition].			limb joint of distal free limb segment|joint of limb of autopod|limb joint of autopod|autopod joint of limb|distal free limb segment limb joint|autopod limb joint|joint of limb of distal free limb segment|distal free limb segment joint of limb	paw joint
neural tube lumen	UBERON_0003842	An anatomical space that surrounded_by a neural tube.			cavity of neural tube|neural tube neural lumen|lumen of neural tube	neurocoel|central lumen|neural lumen
dental epithelium	UBERON_0003843	Epithelium that is part of a developing tooth or dental organ.			dental epithelium|tooth epithelium|odontogenic epithelium|dental epithelia	reduced enamel epithelium
thymus epithelium	UBERON_0003846	An epithelium that is part of a thymus, forming a supporting framework[MP,modified].			epithelial tissue of thymus|thymus epithelial tissue|epithelium of thymus|epithelial tissue of thymus gland|thymus gland epithelial tissue|epithelium of thymus gland|thymic epithelial tissue|thymus gland epithelium|thymic epithelium	
thyroid artery	UBERON_0003847	A artery that supplies a thyroid gland.				
gonadal vein	UBERON_0003848	In medicine, gonadal vein refers to the blood vessel that carrying blood away from the gonad (testis, ovary) toward the heart. Females : ovarian vein Males : testicular vein [WP,unvetted].			vein of gonad|gonada vein|gonad vein|vein of gonada	
mesencephalic neural crest	UBERON_0003849	A neural crest that has_potential_to_developmentally_contribute_to a midbrain.			neural crest midbrain|mesencephalic neural crest	
telencephalon neural crest	UBERON_0003850	A neural crest that has_potential_to_developmentally_contribute_to a telencephalon.			neural crest telencephalon	
diencephalon neural crest	UBERON_0003851	A neural crest that has_potential_to_developmentally_contribute_to a diencephalon.			neural crest diencephalon|neural crest of future diencephalon|diencephalic neural crest|future diencephalon neural crest	
rhombencephalon neural crest	UBERON_0003852	A neural crest that has_potential_to_developmentally_contribute_to a hindbrain.			neural crest hindbrain|rhombencephalic neural crest	rhombomere neural crest
spinal cord neural crest	UBERON_0003853	A neural crest that has_potential_to_developmentally_contribute_to a spinal cord.			neural crest spinal cord	spinal neural crest
spinal cord neural plate	UBERON_0003854	A neural plate that develops_from a future spinal cord.			neural plate of spinal cord	
gonad mesenchyme	UBERON_0003855	Mesenchyme that is part of a developing gonad [Automatically generated definition].			gonada mesenchyme|mesenchyme of gonad|mesenchyme of gonada	
uncondensed odontogenic mesenchyme	UBERON_0003856	Mesenchyme enclosed by a dental organ that gives rise to an odontogenic papilla.			dental mesenchyme|tooth mesenchyme|tooth enamel organ mesenchyme|dental organ mesenchyme|enamel organ mesenchyme	
forelimb mesenchyme	UBERON_0003859	Mesenchyme that is part of a developing forelimb [Automatically generated definition].			mesenchyme of upper extremity|mesenchyme of anteriormost limb|fore limb mesenchyme|mesenchyme of fore limb|superior member mesenchyme|mesenchyme of forelimb|mesenchyme of superior member|anteriormost limb mesenchyme|upper extremity mesenchyme	
hindlimb mesenchyme	UBERON_0003860	Mesenchyme that is part of a developing hindlimb [Automatically generated definition].			mesenchyme of lower extremity|hind limb mesenchyme|lower extremity mesenchyme|mesenchyme of hindlimb|inferior member mesenchyme|mesenchyme of hind limb|mesenchyme of inferior member	
neural arch	UBERON_0003861	posterior part of a vertebra that consists of a pair of pedicles and a pair of laminae, and supports seven processes: four articular processes, two transverse processes one spinous process[WP]. ZFA: A neural arch encloses the neural canal and typically meets its partner to form a neural spine. .		vertebra neural arch	dorsal arcocentrum|arcus vertebrae (vertebralis)|arcus vertebra|arcus vertebrae	vertebra dorsal arch|arcus vertebrae
middle phalanx of manus	UBERON_0003864	A middle phalanx that is part of a finger [Automatically generated definition].			middle phalanx of hand|middle phalanx of manual digit|hand middle phalanx|middle manual phalanx|middle phalanx of finger|phalanx media manus	
distal phalanx of manus	UBERON_0003865	A distal phalanx that is part of a finger [Automatically generated definition].	This is typically proximally connected to the middle phalanx of manus, except in some cases such as the manual digit 1 (thumb) of many mammals such as humans, where it connects to the proximal phalanx. It always connects to some phalanx, by definition		terminal phalanx of hand|distal phalanx of manual digit|distal phalanx of hand|distal phalanx of finger|distal manual phalanx|phalanx distalis manus|ungual phalanx of hand|hand distal phalanx	
middle phalanx of pes	UBERON_0003866	A middle phalanx that is part of a toe [Automatically generated definition].			middle pedal phalanx|middle phalanx of toe|phalanx media pedis|middle phalanx of foot|foot middle phalanx	
distal phalanx of pes	UBERON_0003867	A distal phalanx that is part of a pedal digit [Automatically generated definition].	This is typically proximally connected to the middle phalanx of pes, except in some cases such as the pedal digit 1 (big toe) in many mammals such as humans, where it connects to the proximal phalanx. It always connects to some phalanx, by definition		terminal phalanx of foot|distal phalanx of foot|ungual phalanx of hindlimb|phalanx distalis pedis|ungual phalanx of foot|distal phalanx of toe|foot distal phalanx|terminal phalanx of hindlimb|distal pedal phalanx	
proximal phalanx of pes	UBERON_0003868	A proximal phalanx that is part of a pedal digit [Automatically generated definition].			phalanx proximalis pedis|foot proximal phalanx|proximal phalanx of foot digit|proximal phalanx of pes|proximal phalanx of toe|proximal phalanx of foot|proximal phalanx of hind digit|proximal pedal phalanx	
presumptive ganglion	UBERON_0003869	A presumptive structure that has the potential to develop into a ganglion.				
mesometrium	UBERON_0003885	A mesentery that is part of a uterus [Automatically generated definition].				mesentery of uterus
future coelemic cavity lumen	UBERON_0003886	An anatomical cavity that has the potential to develop into a coelemic cavity lumen.				body cavity precursor
intraembryonic coelom	UBERON_0003887	The part of the coelom in the embryo between the somatopleuric and splanchnopleuric mesoderm; the principal body cavities of the trunk (thoracic, abdominal, and pelvic) arise from this embryonic part of the coelom			somatic coelom	
fallopian tube	UBERON_0003889	Initial section of the oviduct through which the ova pass from the ovary to the uterus		salpinges|salpinx	mammalian oviduct|uterine tube (sensu Mammalia)	tuba uterina|paramesonephric duct of female|fallopian tubes|female paramesonephric duct
Mullerian duct	UBERON_0003890	paired ducts of the embryo that run down the lateral sides of the urogenital ridge and terminate at the mullerian eminence in the primitive urogenital sinus. In the female, they will develop to form the fallopian tubes, uterus, and the upper portion of the vagina; in the male, they are lost. These ducts are made of tissue of mesodermal origin[WP]. develops either by lengthwise splitting of the archinephric duct (in chondrichthyans and some amphibians) or by a elongated invagination of the coelomic epithelium (other vertebrates) In males, the oviducts regress. The cranial end of the oviduct maintains an opening into the coelom (which primitively may have been the anteriormost coelomic funnels connecting the nephrocoel with the coelom). This opening is the ostium tubae[USM].			Müllerian duct|Muellerian duct|paramesonephric duct|ductus paramesonephricus	
stroma	UBERON_0003891	Connective, non-functional supportive framework of a biological cell, tissue, or organ. Contrast with parenchyma.				stromal connective tissue
capsule	UBERON_0003893	A cover or envelope partly or wholly surrounding a structure. Examples: egg shell, articular capsules, renal capsules[WP].	see also: protective structure surrounding some species of bacteria and fungi. Note that FMA has classes such as Articular capsule that are not subtypes of Capsule (which is undefined in FMA). GO has 'capsule' which is a fungal structure, and 'external encapsulating structure' which is restricted to cells			
liver primordium	UBERON_0003894	A small endodermal thickening in the foregut adjacent to the transverse septum. Invaginates forming the hepatic diverticulum.			embryological hepatic plate|primordium of the liver	hepatic plate|liver endoderm|liver bud
axial muscle	UBERON_0003897	One of the skeletal muscles of the head and neck, spine, and ribs.				
skeletal muscle tissue of trunk	UBERON_0003898	A portion of skeletal muscle tissue in the trunk.			torso skeletal muscle|trunk skeletal muscle|trunk skeletal muscle tissue|skeletal muscle tissue of torso|skeletal muscle tissue of trunk|torso skeletal muscle tissue|skeletal muscle of torso	
retinal neural layer	UBERON_0003902	The part of the retina that contains neurons and photoreceptor cells[GO].			stratum nervosum (retina)|neural retina|stratum nervosum retinae|neuroretina|neural layer of retina	neural retinal epithelium
sinusoid	UBERON_0003909	small blood vessel similar to a capillary but with a fenestrated endothelium. Sinusoids are found in the liver, lymphoid tissue, endocrine organs, and hematopoietic organs such as the bone marrow and the spleen. Sinusoids found within terminal villi of the placenta are not comparable to these; they possess a continuous endothelium and complete basal lamina[WP].			sinusoidal blood vessel|sinusoidal blood vessel endothelium	endothelium of irregular blood filled space|sinusoidal capillary|sinusoidal endothelium
splenic sinusoid	UBERON_0003910	wide vessels in the spleen that drain into trabecular veins[WP].			sinusoidal blood vessel of spleen	sinusoid of red pulp of spleen
choroid plexus epithelium	UBERON_0003911	The epithelial component of the choroid plexus. Consists of cuboidal epithelial cells surrounding a core of capillaries and loose connective tissue.			epithelial tissue of choroid plexus|choroid plexus epithelial tissue|epithelium of choroid plexus|epithelial tissue of chorioid plexus of cerebral hemisphere	
tooth-like structure	UBERON_0003913	hard bony, calcareous, or chitinous organ found in the mouth or pharynx of an animal and used in procuring or masticating food.	see dermal denticle		tooth-like organ	
epithelial tube	UBERON_0003914	Epithelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues, with tube shape and organization varying from the single-celled excretory organ in Caenorhabditis elegans to the branching trees of the mammalian kidney and insect tracheal system.			epithelial or endothelial tube	
endothelial tube	UBERON_0003915	Any endothelium that has the quality of being cylindrical [Automatically generated definition].				
kidney mesenchyme	UBERON_0003918	Kidney mesenchyme is the tissue made up of loosely connected mesenchymal cells in the kidney[GO].			mesenchyme of kidney	
venous blood vessel	UBERON_0003920	A blood vessel that carries blood from the capillaries toward the heart	Compare to: vein		segment of venous tree organ|venous tree organ segment	
pancreas primordium	UBERON_0003921	embryonic structure that develops into pancreatic bud.			pancreatic primordium	primordial pancreas|pancreatic endoderm|pancreatic anlage
pancreatic epithelial bud	UBERON_0003922	The embryonic pancreas develops from two separate anlagen in the foregut epithelium, one dorsal and two ventral pancreatic buds[PMID].			pancreatic buds|pancreatic bud	pancreas epithelium|pancreatic anlage
dorsal pancreatic bud	UBERON_0003923	pancreatic bud that gives rise to the accessory pancreatic duct.			pancreas primordium dorsal bud|primary pancreatic bud|pancreas dorsal primordium duct bud	dorsal pancreatic anlage|posterior pancreatic anlage|dorsal pancreas anlage|posterior pancreatic bud
ventral pancreatic bud	UBERON_0003924	pancreatic bud that gives rise to the major pancreatic duct.			pancreas primordium ventral bud|pancreas ventral primordium duct bud	anterior pancreatic anlage|ventral pancreas anlage|ventral pancreatic anlage|anterior pancreatic bud
digestive system duct	UBERON_0003928	A duct that is part of a digestive system [Automatically generated definition].			duct of digestive system|duct of gastrointestinal system|gastrointestinal system duct	
digestive tract epithelium	UBERON_0003929	An epithelium that lines the lumen of the digestive tract.			epithelium of gut|gut epithelial tissue|digestive tract epithelial tissue|gut epithelium|epithelium of digestive tract|epithelial tissue of gut|gastrodermis|epithelial tissue of digestive tract	alimentary tract epithelium
diencephalic white matter	UBERON_0003931	White matter that is part of a diencephalon [Automatically generated definition].			white matter of diencephalon|predominantly white regional part of diencephalon|diencephalic tracts and commissures|diencephalic tract/commissure	
cartilage element of chondrocranium	UBERON_0003932	A cartilage element of chondrocranium. Example: neurocranial trabecula.			neurocranium cartilage|cartilage of chondrocranium|cartilaginous element of chondrocranium|chondrocranium cartilage	
cranial cartilage	UBERON_0003933	A cartilage element that is part of the cranial skeleton.			cartilage of cranium|cranium cartilage	cranial cartilages
reproductive gland	UBERON_0003937	Any of the organized aggregations of cells that function as secretory or excretory organs and are associated with reproduction.			reproductive gland|sex gland|reproductive system gland|genitalia gland|gland of genitalia|gland of reproductive system	
somatic sensory system	UBERON_0003942	The sensory system for the sense of touch and pain.			somatic sensory system|system for detection of somatic senses|somatosensory system	
placenta labyrinth	UBERON_0003946	The placental layers where embryonic blood vessels are surrounded by trophoblast cells and maternal blood			placental labyrinth|labyrinthine layer|labyrinthine layer of placenta	
brain ventricle/choroid plexus	UBERON_0003947	The brain ventricles or their associated choroid plexuses				
anterior stroma of cornea	UBERON_0003952	The anterior segment of the lamellated connective tissue layer of the cornea		anterior stroma	cornea anterior stroma	
posterior stroma of cornea	UBERON_0003953	The posterior segment of the lamellated connective tissue layer of the cornea		posterior stroma	cornea posterior stroma	
aqueous drainage system	UBERON_0003956	The structures associated with drainage of the aqueous humor from the eye, that include the trabecular meshwork, Schlemm's canal, the uveoscleral network, and the aqueous veins				
rete testis	UBERON_0003959	An anastomosing network of delicate tubules located in the hilum of the testicle (mediastinum testis) that carries sperm from the seminiferous tubules to the vasa efferentia[WP].			Haller's rete	
cutaneous elastic tissue	UBERON_0003967	The slender connective tissue fiber in the extracellular matrix of skin tissue that is composed of microfibrils and amorphous elastin and is characterized by great elasticity				
placental labyrinth vasculature	UBERON_0003970	blood vessels of the layer of the placenta where embryonic and maternal blood vessels interdigitate			placental labyrinth vascular network|vasculature of placenta labyrinth	placental vasculature
internal female genitalia	UBERON_0003975	The internal feminine genital organs, including the ovaries, uterine tubes, uterus, uterine cervix, and vagina.	TODO: Relabel. Make distinct organ class. See https://github.com/obophenotype/uberon/issues/547		internal female genital organ|internal genitalia of female reproductive system|female internal genitalia	organa genitalia feminina interna
valve	UBERON_0003978				anatomical valve	
cerebellum fissure	UBERON_0003980	One of a set of deep furrows which divide the lobules of the cerebellum. Examples: postcentral, primary and secondary furrows			fissurae cerebelli|cerebellar fissure	cerebellar fissures|set of cerebellar fissures|cerebellar sulcus|cerebellar sulci|cerebellar fissures set|sulcus of cerebellum
conus arteriosus	UBERON_0003983	A conical pouch formed from the upper and left angle of the right ventricle in the chordate heart, from which the pulmonary artery arises[WP]. the anteriosuperior, smooth-walled portion of the cavity of the right ventricle, beginning at the supraventricular crest and terminates in the pulmonary trunk[MP].				
uterine tube infundibulum	UBERON_0003984	The funnel-like expansion of the abdominal extremity of the uterine tube[MP]		infundibulum	infundibulum of oviduct|infundibulum of uterine tube	infundibulum tubae uterinae
thymus corticomedullary boundary	UBERON_0003988	The dense region demarcating the thymus medulla from the surrounding cortex that is characterized by numerous blood vessels (predominantly arterioles) with some perivascular connective tissue, mature and immature T lymphocytes, dendritic cells, variable numbers of perivascular B-lymphocytes and plasma cells; site of entry of bone marrow stem cells and exit of mature, functional T cells			thymic cortico-medullary boundary|thymus CMZ|thymic corticomedullary zone|thymus cortico-medullary boundary|thymus corticomedullary junction|thymus corticomedullary zone|thymic corticomedullary junction|thymic corticomedullary boundary	
spinal cord motor column	UBERON_0003990	The subclasses of motor neurons which are organized into longitudinally oriented columns that occupy distinct and, in some cases, discontinuous domains along the rostrocaudal axis of the spinal cord; motor neurons within a single column send their axons to a common peripheral target				
olfactory bulb layer	UBERON_0004001	.			cytoarchitectural part of olfactory bulb	
embryonic-extraembryonic boundary	UBERON_0004015	The connection between the embryo proper and extraembryonic tissues				
dermatome	UBERON_0004016	A transitional population of migrating mesenchymal cells that derive from somites and that will become dermal cells.			cutis plate|dermatomal mesenchyme	epimere mesoderm|mesenchyma dermatomiale
germinal neuroepithelium	UBERON_0004022	The single layer of epithelial cells that lines the early neural tube and develops into the nervous system and into the neural crest cells			original neural tube|germinal neuroepithelium|germinal neuroepithelial layer	
cortical subplate	UBERON_0004035	The transient outer neural tube region that contains the first generated post-mitotic neurons that receive synaptic input from thalamic axons and in turn project axons to the developing cortical plate		SP	subplate zone|cerebral cortex subplate|subplate	
cortical intermediate zone	UBERON_0004040	The region of the developing mammalian cortex that extends between the ventricular zone and the cortical plate (CP); normally, the IZ is a region of tangential migration of cells, and at midgestation, the lower part of the IZ develops into the subventricular zone		IZ		cortical mantle layer|cerebral cortex mantle layer|cerebral cortex mantle zone
spleen primary B follicle	UBERON_0004041	The nodules of small undifferentiated B lymphocytes and follicular dendritic cells located in the spleen white pulp			primary spleen B cell follicle	
spleen secondary B follicle	UBERON_0004042	The nodules of antigen-activated, differentiating B cells, follicular dendritic cells, antigen-presenting T cells and macrophages in the spleen white pulp			secondary spleen B cell follicle|splenic secondary B cell follicle	
semicircular canal ampulla	UBERON_0004043	The spherical enlargement at the base of each semicircular canal where they connect with the utricle, containing the crista ampullaris which detects movement of the fluid within the canals				semicircular duct ampulla|membraneous ampulla of the semicircular duct|ampullae osseae
anterior visceral endoderm	UBERON_0004044	The extraembryonic tissue that is responsible for the proper orientation of the anterior-posterior axis of the embryo and for appropriate patterning of adjacent embryonic tissue				AVE
external male genitalia	UBERON_0004053	The external masculine genital organs, including the penis and scrotum	TODO: Relabel. Make distinct organ class. See https://github.com/obophenotype/uberon/issues/547		external male genital organ|male external genitalia	organa genitalia masculina externa
internal male genitalia	UBERON_0004054	The internal masculine genital organs, including the testes, epididymides, deferent ducts, seminal vesicles, prostate, ejaculatory ducts, and bulbourethral glands	TODO: Relabel. Make distinct organ class. See https://github.com/obophenotype/uberon/issues/547		male internal genitalia|internal male genital organ	organa genitalia masculina interna
biliary ductule	UBERON_0004058	One of the fine terminal elements of the bile duct system, leaving the portal canal, and pursuing a course at the periphery of a lobule of the liver[BTO]. the excretory ducts of the liver that connect the interlobular ductules to the right or left hepatic duct[MP]			bile ductule|biliary ductule|ductuli biliferi	bile capillary|biliary ductule|cholangiole|terminal cholangiole
spinal cord medial motor column	UBERON_0004059	The subclasses of motor neurons which project their axons to axial muscles that lie close to the vertebral column; motor neurons in the lateral subdivision of the MMC project their axons to body wall muscles				
neural tube ventricular layer	UBERON_0004060	The layer of undifferentiated, proliferating cells that line the neural tube lumen that is the immediate transformation of the germinal neuroepithelium		ependymal layer	neural tube ventricular germinal zone|neural tube ependymal layer|neural tube ventricular zone	
neural tube mantle layer	UBERON_0004061	The layer of glia and differentiating neurons that forms as a second layer around the germinal neuroepithium; as this develops it comes to lie between the ventricular and marginal layers and includes the basal and alar plates. Develops into neurons and glia forming a gray matter layer.			neural tube intermediate zone	future brain marginal layer
neural tube marginal layer	UBERON_0004062	The outermost layer of the neural tube that consists of axons from the developing mantle layer and will form the white matter			neural tube marginal zone	brain marginal zone
neural tube basal plate	UBERON_0004064	The region of the mantle layer of the neural tube that lies ventral to the sulcus limitans and contains primarily motor neurons and interneurons.			basal plate of neural tube|basal plate	ventral part of neural tube|motor part of neural tube
frontonasal prominence	UBERON_0004066	The unpaired embryonic prominence that is formed by the tissues surrounding the forebrain vesicle and develops into the forehead and bridge of the nose/snout.			embryonic frontonasal prominence	forebrain prominence|prominentia frontonasalis|frontonasal process|frontonasal mass
lateral nasal prominence	UBERON_0004067	The lateral area of the two branches of a horseshoe-shaped mesenchymal swelling in the future nasal region of the embryo; it separates the olfactory pit from the developing eye and the ala of the nose/snout develops from it			latero-nasal process|lateral nasal process	prominentia nasalis lateralis|lateral nasal swelling
medial nasal prominence	UBERON_0004068	The central area of the two limbs of a horseshoe-shaped mesenchymal swelling that lie medial to the olfactory placode or pit in the future nasal region of the embryo; it joins with the ipsilateral maxillary prominence in the formation of half of the upper jaw, and the nasal tip and philtrum of the upper lip develop from it			medial nasal process|medial-nasal process|prominentia nasalis medialis	medial nasal swelling|nasomedial prominence
brain ventricle	UBERON_0004086	one of the system of communicating cavities in the brain that are continuous with the central canal of the spinal cord, that like it are derived from the medullary canal of the embryo, that are lined with an epithelial ependyma, and that contain a serous fluid			region of ventricular system of brain|brain ventricles|cerebral ventricle	
vena cava	UBERON_0004087	Any of the veins that carries deoxygenated blood from a part of the body into the right atrium of the heart.				caval vein|venae cavae
orbital region	UBERON_0004088	The subdivision of the face that includes the eye (eyeball plus adnexa such as eyelids) and the orbit of the skull and associated parts of the face such as the eyebrows, if present			content of orbital part of eye|orbital part of face|eye region	orbital content|ocular and peri-ocular region|ocular region|orbital part of eye
joint space of elbow	UBERON_0004099	Joint cavity shared by all the joints of the elbow. The elbow joint is a compound joint that actually comprises three separate joints: the joints connecting the upper and lower arm: 1) Articulatio humero-ulnaris and 2) Articulatio humero-radialis as well as the proximal joint connecting the forarm bones: 3) Articulatio radio-ulnaris proximalis. All three share a joint cavity which is highly sinuated/scalloped/coved. Joint spaces of the elbow summarizes the joint cavity shared by all three adjoining joints of the elbow joint.			synovial cavity of elbow joint	
alveolar ridge	UBERON_0004103	one of the two jaw ridges either on the roof of the mouth between the upper teeth and the hard palate or on the bottom of the mouth behind the lower teeth[WP]. The alveolar ridges contain the sockets (alveoli) of the teeth[HP].			alveolar bone|alveolar process|alveolar body|alveolar margin|margo alveolaris	
cortex of humerus	UBERON_0004109	The outer or sperficial part of the humerus.			humerus cortical bone|compact bone of humerus|humerus compact bone|cortex of the humerus	
muscle of auditory ossicle	UBERON_0004113	A muscle of the tympanic cavity that attaches to an auditory ossicle.			ossicular muscle|auditory ossicles muscle|muscle of auditory ossicles|tympanic cavity muscle|muscle of tympanic cavity	muscle of middle ear
tympanic cavity	UBERON_0004114	small cavity surrounding the bones of the middle ear.			cavity of middle ear|cavitas tympani|middle-ear cavity|middle ear cavity|anatomical cavity of middle ear	cavitas tympanica|tympanum
blood vessel of tympanic cavity	UBERON_0004115	A blood vessel that is part of a tympanic cavity [Automatically generated definition].			cavity of middle ear blood vessel|blood vessel of anatomical cavity of middle ear|blood vessel of middle ear cavity|middle ear anatomical cavity blood vessel|blood vessel of cavity of middle ear|tympanic cavity blood vessel|middle ear cavity blood vessel|anatomical cavity of middle ear blood vessel|middle ear blood vessel|blood vessel of middle ear anatomical cavity	
nerve of tympanic cavity	UBERON_0004116	A nerve that is part of a tympanic cavity [Automatically generated definition].			middle ear anatomical cavity nerve|tympanic cavity nerve|nerve of middle ear anatomical cavity|nerve of middle ear cavity|nerve of cavity of middle ear|tympanic cavity nerves|middle ear cavity nerve|cavity of middle ear nerve|nerve of anatomical cavity of middle ear|anatomical cavity of middle ear nerve	
pharyngeal pouch	UBERON_0004117	An internal pocketing of pharyngeal endoderm that contacts a region of ectoderm (a pharyngeal cleft) and interdigitates in the anterior and posterior directions with the pharyngeal arches.	The pouches are polarized structures. For example, whereas the rostral half of each pouch expresses Bmp-7, the caudal half expresses FGF-8 and the dorsal aspect of each pouch is marked via its expression of Pax-1. each pouch has an individual sense of identity. Shh expression is a prominent early feature of the caudal endoderm of the second arch, and individual pouches mark the anterior limits of expression of Hox genes within the pharyngeal endoderm; Hox-a2 has a rostral boundary at the second pouch, Hox-a3 at the third pouch and Hox-a4 at the most caudal pouch[PMID:16313389]		visceral pouch|branchial pouch	pharyngeal pouches|visceral pouches
vasculature of iris	UBERON_0004118	A vasculature that is part of a iris [Automatically generated definition].			iris blood vessels|iris vasculature|vascular network of iris|iris vascular network	
endoderm-derived structure	UBERON_0004119	An anatomical structure that develops (entirely or partially) from the endoderm.				
mesoderm-derived structure	UBERON_0004120	An anatomical structure that develops (entirely or partially) from the mesoderm.			mesodermal derivative	
ectoderm-derived structure	UBERON_0004121	An anatomical structure that develops (entirely or partially) from the ectoderm.			ectodermal deriviative	
genitourinary system	UBERON_0004122	Anatomical system that has as its parts the organs concerned with the production and excretion of urine and those concerned with reproduction.			urogenital system	genitourinary tract|Urogenitalsystem|genito-urinary system|UG tract|GU tract|urogenital tract
optic vesicle	UBERON_0004128	The optic vesicle is the evagination of neurectoderm that precedes formation of the optic cup[GO]. Portion of tissue that is comprised of neuroepitheium which has pinched off from the anterior neural keel and will form the optic cup[ZFA].	Genes: Six3, Pax6, Rx1 are expressed together in the tip of the neural plate [ISBN:9780878932504 "Developmental Biology"]. Development notes: During subsequent develop- ment, the optic vesicle invaginates and becomes a two-layered structure with an inner neural retina and outer retinal pigment epithelium. As soon as the developing optic vesicle makes contact with the overlying ectoderm, it induces the ectoderm to thicken and form the lens placode [PMID:16496288]			ocular vesicle|evagination|eye vesicle|optic vesicles
growth plate cartilage	UBERON_0004129	cartilage that will provide a scaffold for mineralization of endochondral bones as they elongate or grow.				growth plate
